metric,rank,district,value,unit,reporting_period
unemployment_share,9,Rissen,4.6,percent,2024-12
unemployment_share,10,Iserbrook,4.5,percent,2024-12
unemployment_share,11,Othmarschen,3.3,percent,2024-12
unemployment_share,12,Groß Flottbek,2.6,percent,2024-12
unemployment_share,13,Blankenese,2.6,percent,2024-12
unemployment_share,14,Nienstedten,2.4,percent,2024-12
sgb2_share,1,Lurup,14.7,percent,2024-12
sgb2_share,2,Bahrenfeld,12.1,percent,2024-12
sgb2_share,3,Altona-Altstadt,11.4,percent,2024-12
sgb2_share,4,Osdorf,11.2,percent,2024-12
sgb2_share,5,Altona-Nord,9.6,percent,2024-12
sgb2_share,6,Sülldorf,8.7,percent,2024-12
sgb2_share,7,Sternschanze,7.9,percent,2024-12
sgb2_share,8,Rissen,6.1,percent,2024-12
sgb2_share,9,Iserbrook,5.6,percent,2024-12
sgb2_share,10,Ottensen,5.5,percent,2024-12
sgb2_share,11,Othmarschen,3.5,percent,2024-12
sgb2_share,12,Blankenese,1.3,percent,2024-12
sgb2_share,13,Groß Flottbek,1.2,percent,2024-12
sgb2_share,14,Nienstedten,1.0,percent,2024-12
private_cars_per_1000,1,Nienstedten,502.0,cars_per_1000,2025-01
private_cars_per_1000,2,Blankenese,489.0,cars_per_1000,2025-01
private_cars_per_1000,3,Rissen,425.0,cars_per_1000,2025-01
private_cars_per_1000,4,Othmarschen,415.0,cars_per_1000,2025-01
private_cars_per_1000,5,Groß Flottbek,414.0,cars_per_1000,2025-01
private_cars_per_1000,6,Sülldorf,392.0,cars_per_1000,2025-01
private_cars_per_1000,7,Iserbrook,391.0,cars_per_1000,2025-01
private_cars_per_1000,8,Osdorf,349.0,cars_per_1000,2025-01
private_cars_per_1000,9,Lurup,321.0,cars_per_1000,2025-01
private_cars_per_1000,10,Bahrenfeld,273.0,cars_per_1000,2025-01
private_cars_per_1000,11,Ottensen,257.0,cars_per_1000,2025-01
private_cars_per_1000,12,Altona-Altstadt,218.0,cars_per_1000,2025-01
private_cars_per_1000,13,Altona-Nord,208.0,cars_per_1000,2025-01
private_cars_per_1000,14,Sternschanze,186.0,cars_per_1000,2025-01
electric_cars,1,Othmarschen,1371.0,cars,2025-01
electric_cars,2,Bahrenfeld,878.0,cars,2025-01
electric_cars,3,Ottensen,475.0,cars,2025-01
electric_cars,4,Altona-Altstadt,420.0,cars,2025-01
electric_cars,5,Lurup,345.0,cars,2025-01
electric_cars,6,Rissen,317.0,cars,2025-01
electric_cars,7,Osdorf,301.0,cars,2025-01
electric_cars,8,Blankenese,299.0,cars,2025-01
electric_cars,9,Groß Flottbek,211.0,cars,2025-01
electric_cars,10,Nienstedten,201.0,cars,2025-01
electric_cars,11,Altona-Nord,164.0,cars,2025-01
electric_cars,12,Sülldorf,149.0,cars,2025-01
electric_cars,13,Iserbrook,128.0,cars,2025-01
electric_cars,14,Sternschanze,99.0,cars,2025-01
